links,Valid or not,Time
https://www.kaggle.com/host,Valid,2017-09-25 14:35:43.183849
http://blog.kaggle.com/,Valid,2017-09-25 14:35:43.387165
https://inclass.kaggle.com,Valid,2017-09-25 14:35:43.605207
